Country,Region,IncomeGroup,Cluster,Life expectancy,GDP,Schooling,Adult Mortality,HIV/AIDS,Sanitation,Undernourishment,Health Expenditure %,CO2
Niger,Sub-Saharan Africa,Low income,2,57.44666666666667,266.53753890666667,4.1,229.0,1.1400000000000001,10.699740451933334,6.6,5.020297114,1206.0000011126203
Nigeria,Sub-Saharan Africa,Lower middle income,2,51.64,1425.54124754,9.093333333333334,262.06666666666666,4.826666666666667,24.263918934666666,8.173333333333334,3.707017372666667,95835.33294677733
Norway,Europe & Central Asia,High income,3,82.01333333333334,26720.829030666668,17.493333333333332,65.0,0.1,61.26032958266667,2.5,8.750905862,37786.66653442384
Oman,Middle East & North Africa,High income,1,74.99333333333334,8071.986137999999,12.346666666666666,63.06666666666667,0.1,47.891129819999996,8.986666666666668,2.8747843906666666,45273.332931518555
Pakistan,South Asia,Lower middle income,2,64.61333333333333,674.9276276066666,6.8133333333333335,163.0,0.1,47.891129819999996,16.646666666666665,2.6676406393333334,133649.99973551434
Palau,East Asia & Pacific,Upper middle income,1,72.65666666666667,1932.12237,14.2,141.23333333333335,0.1,47.891129819999996,6.6,10.207093334,222.6666640043258
Panama,Latin America & Caribbean,High income,1,76.53999999999999,5775.866859600001,12.82,115.53333333333333,0.12000000000000001,47.891129819999996,14.873333333333333,6.756579843333332,8147.333286285397
Papua New Guinea,East Asia & Pacific,Lower middle income,2,61.86666666666667,767.1083851857144,8.7,262.0,1.1733333333333333,47.891129819999996,25.94,2.4692871093333335,4885.999990463257
Paraguay,Latin America & Caribbean,Upper middle income,1,72.72,2012.5895296,12.206666666666667,137.8,0.14,50.96019749733333,8.58,5.524827988666667,4553.333353042603
Peru,Latin America & Caribbean,Upper middle income,1,73.81333333333333,2990.6651318,13.293333333333333,120.33333333333333,0.28,25.846117972000002,13.253333333333334,4.691813278,39139.33315531412
Philippines,East Asia & Pacific,Lower middle income,2,67.62666666666667,1481.0171957999999,11.553333333333335,217.86666666666667,0.1,47.97221974066667,13.473333333333333,3.6745864873333334,81380.00008138016
Poland,Europe & Central Asia,High income,3,75.78,6945.8859978,15.293333333333333,104.53333333333333,0.1,84.41197685666666,2.5,6.138391082666667,301048.6670735679
Portugal,Europe & Central Asia,High income,3,80.22,12295.040779333332,15.966666666666667,62.06666666666667,0.1,62.703407522666666,2.5,9.434993936000001,55923.99996948242
Qatar,Middle East & North Africa,High income,1,77.08666666666666,41465.92094466667,12.84,74.53333333333333,0.1,76.51333333333334,6.6,2.3417849066666667,54578.00079345703
Romania,Europe & Central Asia,High income,3,73.85333333333332,4431.658542533333,14.086666666666668,154.8,0.1,59.89164374,2.5,5.072738457333333,87317.99955240886
Rwanda,Sub-Saharan Africa,Low income,2,60.04666666666667,305.60770176666665,9.466666666666667,234.86666666666667,4.153333333333333,47.891129819999996,34.02,7.1990964900000005,649.3333377838135
Samoa,East Asia & Pacific,Lower middle income,1,73.72666666666667,2252.7494097333333,12.68,141.26666666666668,0.1,48.061820872,3.8133333333333335,5.116105461999999,192.66666694482146
San Marino,Europe & Central Asia,High income,1,72.65666666666667,3045.0455303666668,15.1,141.23333333333335,0.1,70.3715,6.6,6.133025233333333,9765.000343322754
Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,1,65.33333333333333,771.0348342533333,10.32,161.0,0.9333333333333333,21.349233587333334,11.873333333333333,8.555695278666667,89.99999955296516
Saudi Arabia,Middle East & North Africa,High income,1,73.52666666666667,10793.192857066666,13.386666666666667,54.86666666666667,0.1,44.63430624533333,4.966666666666667,4.080470944666667,394930.0010579428
Senegal,Sub-Saharan Africa,Lower middle income,2,62.906666666666666,261.3550185533333,7.253333333333333,184.13333333333333,0.5333333333333333,17.130252934666665,15.22,4.024661142666667,6492.666655222577
Serbia,Europe & Central Asia,Upper middle income,3,74.04666666666667,3913.7027999333336,13.566666666666666,129.73333333333332,0.1,20.297826407333332,2.8333333333333335,8.770050908,48591.99981689453
Seychelles,Sub-Saharan Africa,High income,1,72.41333333333334,6424.132454866666,12.946666666666665,159.4,0.1,47.891129819999996,6.6,4.75530394,407.3333288033802
Sierra Leone,Sub-Saharan Africa,Low income,2,46.586666666666666,280.31828047333335,8.333333333333334,346.1333333333333,1.54,10.865875614733334,37.333333333333336,12.209737777333334,657.3333264986675
Singapore,East Asia & Pacific,High income,1,81.68666666666667,33389.93450066667,14.08,60.93333333333333,0.1,100.0,6.6,3.3402871286666667,41021.33339436849
Slovenia,Europe & Central Asia,High income,3,79.98,12121.931551333333,16.6,73.4,0.1,43.082951400666666,2.5,8.214580155333334,15384.66681671142
Solomon Islands,East Asia & Pacific,Lower middle income,1,67.84,845.0719705866667,8.733333333333333,133.73333333333332,0.1,47.891129819999996,14.393333333333334,6.822124736,322.6666669050855
Somalia,Sub-Saharan Africa,Low income,2,53.20666666666667,297.47334513333334,12.406666666666666,314.2,0.84,21.186599592666667,68.29333333333334,5.79520154,605.9999909400939
South Africa,Sub-Saharan Africa,Upper middle income,2,57.513333333333335,5171.5738266,12.886666666666667,413.8,18.30666666666667,47.891129819999996,3.8666666666666667,8.195187409333334,396092.6670735677
South Sudan,Sub-Saharan Africa,Low income,2,54.20666666666667,1092.233630625,1.6333333333333333,366.8666666666667,3.76,47.891129819999996,6.6,5.79520154,1164.6666585604357
Spain,Europe & Central Asia,High income,3,82.26666666666667,17254.572452666667,16.4,62.13333333333333,0.1,94.27244788066668,2.5,8.299199231333334,298496.6638590495
Sri Lanka,South Asia,Lower middle income,1,73.52666666666667,1051.09005712,13.273333333333333,142.33333333333334,0.1,47.891129819999996,11.193333333333333,3.9160903466666666,14024.66669718424
Sudan,Sub-Saharan Africa,Low income,2,62.04,1248.2272549933334,6.433333333333334,237.4,0.26,47.891129819999996,16.466666666666665,5.162907838,13113.33328882853
Suriname,Latin America & Caribbean,Upper middle income,1,70.26,4974.056724066667,11.873333333333333,162.13333333333333,0.7866666666666667,28.926468051333334,8.806666666666667,5.265321762666667,1770.6666720708222
Sweden,Europe & Central Asia,High income,3,82.71333333333334,29338.420015333333,15.866666666666667,58.266666666666666,0.1,93.69830957333333,2.5,9.057557456000001,46950.000508626305
Switzerland,Europe & Central Asia,High income,3,82.50666666666666,58666.183957333335,15.413333333333332,54.266666666666666,0.1,99.61972933066666,2.5,10.022189649333335,43577.99952189127
Tajikistan,Europe & Central Asia,Lower middle income,1,66.85333333333332,349.0020647133333,10.753333333333334,176.2,0.2533333333333333,47.891129819999996,6.6,5.583272553333333,2910.000015894572
Thailand,East Asia & Pacific,Upper middle income,1,73.21333333333334,3725.9294933333335,12.66,158.13333333333333,0.36000000000000004,21.942809065333336,11.133333333333333,3.3707172080000003,224650.6670735678
Togo,Sub-Saharan Africa,Low income,2,56.8,336.59147864,10.74,309.46666666666664,3.78,7.0027011413333335,24.68,3.9424013126666666,1860.0000178019202
Tonga,East Asia & Pacific,Upper middle income,1,72.59333333333333,2096.1073745999997,14.253333333333334,127.73333333333333,0.1,34.86307598533333,6.6,4.597209884,120.6666650970776
Trinidad and Tobago,Latin America & Caribbean,High income,1,71.2,8214.934811933334,12.373333333333333,161.13333333333333,0.6066666666666667,47.891129819999996,9.026666666666667,4.675333118,18925.333412170414
Tunisia,Middle East & North Africa,Lower middle income,1,74.45333333333333,3099.4259289333336,14.139999999999999,12.533333333333333,0.1,64.456302306,3.6866666666666665,5.859395248666667,25290.000045776367
Turkmenistan,Europe & Central Asia,Upper middle income,1,64.67333333333333,2636.173963853333,10.486666666666668,214.2,0.1,47.891129819999996,4.453333333333333,6.656706078666668,57171.33312988281
Tuvalu,East Asia & Pacific,Upper middle income,2,72.65666666666667,3542.13589,0.0,141.23333333333335,0.1,5.5785110044,6.6,14.650430488000001,9.999999791383742
Uganda,Sub-Saharan Africa,Low income,2,56.31333333333334,431.9428167666667,10.646666666666667,283.26666666666665,7.386666666666667,47.891129819999996,6.6,5.617887752000001,2865.333321889241
Ukraine,Europe & Central Asia,Lower middle income,3,70.1,1640.0602415333335,14.693333333333333,202.33333333333334,0.5266666666666667,50.03141742866667,2.533333333333333,6.531289448666667,282310.6687418621
United Arab Emirates,Middle East & North Africa,High income,1,75.8,23359.640206,12.88,70.4,0.1,80.37437782733333,6.913333333333333,3.0854043966666667,144103.33374023446
United Kingdom,Europe & Central Asia,High income,3,80.99333333333334,3045.0455303666668,12.406666666666666,69.13333333333334,0.1,97.88236907533333,2.5,9.081074365333334,494915.33138020843
